paired_group_id,trial_index,method_id,runtime_sec,runtime_scope,runtime_head_commit,runtime_metadata_role
EDGE_D0318_SNR_+00_DB,29,FULL_PARENT_5X5,0.0267285,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,30,FIXED_RECT_3X5,0.0201955,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,30,GREEDY_ETA_080,0.01783,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,30,FULL_PARENT_5X5,0.0201676,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,31,FIXED_RECT_3X5,0.026343,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,31,GREEDY_ETA_080,0.0231169,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,31,FULL_PARENT_5X5,0.0248144,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,32,FIXED_RECT_3X5,0.0196247,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,32,GREEDY_ETA_080,0.0193053,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,32,FULL_PARENT_5X5,0.0256813,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,33,FIXED_RECT_3X5,0.0260521,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,33,GREEDY_ETA_080,0.0234881,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,33,FULL_PARENT_5X5,0.0273727,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
EDGE_D0318_SNR_+00_DB,34,FIXED_RECT_3X5,0.0254648,EDGE_METHOD_EVALUATION_ONLY,364c5b30f8cf85f9bc164de0b7fcb5bc8f167628,EXCLUDED_FROM_DETERMINISTIC_BUNDLE
