scenario_id,element_snr_db,method_id,subset_id,n_trials,oracle_k_success_rate,Wilson_95_low,Wilson_95_high,azimuth_rmse_all_trials,elevation_rmse_all_trials,pair_rmse_all_trials,unconditional_penalized_error,wrong_local_peak_rate,paired_success_difference,paired_success_difference_95_low,paired_success_difference_95_high,paired_error_difference,paired_error_difference_95_low,paired_error_difference_95_high,diagnostic_status,stage7_1_stable_code_identity_hash
D0286,5,FULL_PARENT_5X5,RECT_E31_A31,200,0.745,0.680370741795453,0.800395048279686,0.192548695139697,0.112361025271222,0.22293496809608,0.283170142781876,0.015,0.025,-0.0239990996135012,0.0739990996135012,-0.00348825300637038,-0.0269532420712806,0.0199767360585399,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,10,FIXED_RECT_3X5,RECT_E14_A31,200,0.88,0.827657479017033,0.918020072936245,0.156364957711119,0.0871779788708138,0.179025137899682,0.192076324680997,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,10,GREEDY_ETA_080,RECT_E28_A31,200,0.885,0.833352831015124,0.92213626767438,0.155643824162734,0.0864580823289532,0.178044938147649,0.189013050020304,0,0.005,-0.0169570656942975,0.0269570656942975,-0.0030632746606933,-0.0134102302556785,0.00728368093429192,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,10,FULL_PARENT_5X5,RECT_E31_A31,200,0.89,0.839073090026985,0.926227555398747,0.157955689989313,0.0908295106229251,0.182208671582886,0.191295050714648,0,0.01,-0.0240043880821593,0.0440043880821593,-0.000781273966349059,-0.0171918229902435,0.0156292750575453,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,0,FIXED_RECT_3X5,RECT_E14_A31,200,0.96,0.923067931799067,0.979594367933848,0.116458572015843,0.0533603660206711,0.128101239876237,0.140736540581494,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,0,GREEDY_ETA_080,RECT_E28_A31,200,0.96,0.923067931799067,0.979594367933848,0.116292807456405,0.0533950364667671,0.127965022507637,0.140564351145969,0,0,0,0,-0.000172189435524065,-0.000509674527669513,0.000165295656621384,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,0,FULL_PARENT_5X5,RECT_E31_A31,200,0.96,0.923067931799067,0.979594367933848,0.115911324451996,0.0538955580425212,0.127828659982535,0.139876754760829,0,0,-0.0138938163113369,0.0138938163113369,-0.000859785820664368,-0.00792225161127968,0.00620267996995095,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,5,FIXED_RECT_3X5,RECT_E14_A31,200,0.995,0.972226295602107,0.999116831284399,0.111008195748691,0.0513081244263563,0.122292040442255,0.123574223605331,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,5,GREEDY_ETA_080,RECT_E28_A31,200,0.995,0.972226295602107,0.999116831284399,0.1107312126424,0.0518288036672451,0.122260485615076,0.123549526428916,0,0,0,0,-2.46971764147245e-05,-0.000573600087829293,0.000524205734999844,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,5,FULL_PARENT_5X5,RECT_E31_A31,200,0.995,0.972226295602107,0.999116831284399,0.111181839583884,0.0513441806788063,0.122464796340966,0.123803863220849,0,0,0,0,0.0002296396155181,-0.000703892604740519,0.00116317183577672,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,10,FIXED_RECT_3X5,RECT_E14_A31,200,1,0.981154673622734,1,0.107217795461511,0.0511636453201083,0.118799723341716,0.117637812947513,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,10,GREEDY_ETA_080,RECT_E28_A31,200,1,0.981154673622734,1,0.107217795461511,0.0511636453201079,0.118799723341716,0.117637812947513,0,0,0,0,-1.79856129989275e-16,-4.28492349900506e-16,6.87800899219555e-17,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0050,10,FULL_PARENT_5X5,RECT_E31_A31,200,1,0.981154673622734,1,0.106670185892973,0.0511998033186576,0.118321377689371,0.117227343547878,0,0,0,0,-0.000410469399635678,-0.00162436297621617,0.000803424176944815,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,0,FIXED_RECT_3X5,RECT_E14_A31,200,0.965,0.929529388477709,0.982944457991433,0.113844278437399,0.0464726501417448,0.122964331999686,0.126277769421901,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,0,GREEDY_ETA_080,RECT_E28_A31,200,0.96,0.923067931799067,0.979594367933848,0.114073820106512,0.0463420500463825,0.123127665600361,0.12826422588351,0,-0.005,-0.0147998199227003,0.00479981992270026,0.00198645646160879,-0.00267127457089619,0.00664418749411376,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,0,FULL_PARENT_5X5,RECT_E31_A31,200,0.96,0.923067931799067,0.979594367933848,0.112511505505729,0.0462706963003515,0.121654495220214,0.12647062300203,0,-0.005,-0.0269570656942975,0.0169570656942975,0.000192853580128421,-0.0104678623393926,0.0108535694996494,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,5,FIXED_RECT_3X5,RECT_E14_A31,200,1,0.981154673622734,1,0.082562499935784,0.0420214254165473,0.0926410631938385,0.0905230635438016,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,5,GREEDY_ETA_080,RECT_E28_A31,200,1,0.981154673622734,1,0.0814933525814263,0.0420214254165473,0.0916895125355081,0.0897481681414515,0,0,0,0,-0.000774895402350115,-0.00172355738086673,0.0001737665761665,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,5,FULL_PARENT_5X5,RECT_E31_A31,200,1,0.981154673622734,1,0.0826476211288531,0.0423912332033547,0.0928851222250347,0.0908248949862629,0,0,0,0,0.000301831442461213,-0.00104332084215716,0.00164698372707958,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,10,FIXED_RECT_3X5,RECT_E14_A31,200,1,0.981154673622734,1,0.0759415623727679,0.040815530462774,0.0862150127447339,0.0856950648739223,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,10,GREEDY_ETA_080,RECT_E28_A31,200,1,0.981154673622734,1,0.0760020073110362,0.0406622791241777,0.0861958587107254,0.0856753955527773,0,0,0,0,-1.96693211450223e-05,-0.000349960990473204,0.000310622348183159,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0230,10,FULL_PARENT_5X5,RECT_E31_A31,200,1,0.981154673622734,1,0.0763862127350367,0.040815530462774,0.0866069340350985,0.0860472752845116,0,0,0,0,0.000352210410589245,-0.000281893130467602,0.000986313951646092,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
