subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E02_A25,2,25,2,1;4;5,2;17;22,1,3,3,2080,195,2275,3,48,99840,33328,130,2.35539657025727e-10,2.02160772695448e-05,5.64252762132519e-10,2.35539945171821e-10,D0175,V0054,H0085,3,2,4,0,0.2849826,0.2849826,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A26,2,26,2,2;4;5,7;17;22,1,3,3,2080,195,2275,3,48,99840,33328,130,2.33400950282371e-10,1.7772370837229e-05,8.22775503266387e-10,2.334009135878e-10,D0183,V0054,H0085,3,2,4,0,0.2662407,0.2662407,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A27,2,27,2,1;2;4;5,2;7;17;22,1,4,4,2080,260,2340,4,64,133120,33344,195,4.73873927369748e-08,2.52727378451413e-05,2.4530590661196e-07,5.14933555638965e-08,D0064,V0186,H0085,4,2,4,0,0.2442325,0.2442325,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E02_A28,2,28,2,3;4;5,12;17;22,1,3,3,2080,195,2275,3,48,99840,33328,130,1.70767007208692e-10,1.51869167035618e-05,1.55528143807869e-11,1.70767006667944e-10,D0191,V0054,H0028,3,2,4,0,0.249554,0.249554,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A29,2,29,2,1;3;4;5,2;12;17;22,1,4,4,2080,260,2340,4,64,133120,33344,195,1.29245781764808e-07,2.58853416972684e-05,5.46030209726267e-07,1.40509283967771e-07,D0064,V0156,H0085,4,2,4,0,0.2455453,0.2455453,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E02_A30,2,30,2,2;3;4;5,7;12;17;22,1,4,4,2080,260,2340,4,64,133120,33344,195,1.93788977352724e-07,2.74463369407411e-05,9.56693661604727e-07,2.11592304018373e-07,D0576,V0258,H0085,4,2,4,0,0.2254217,0.2254217,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E02_A31,2,31,2,1;2;3;4;5,2;7;12;17;22,1,5,5,2080,325,2405,5,80,166400,33360,260,4.29447013950105e-06,7.13071994473385e-05,4.99596935164636e-06,4.69482076899078e-06,D0318,V0228,H0085,5,2,4,0,0.2329433,0.2329433,FIM_SCENARIO_VALID,2,2,1184,2368,2.116015625e-06
RECT_E03_A01,3,1,1;2,1,1;2,2,1,2,4160,130,4290,2,32,66560,33312,2145,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2494556,0.2494556,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,3.78984375e-06
RECT_E03_A02,3,2,1;2,2,6;7,2,1,2,4160,130,4290,2,32,66560,33312,2145,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2364208,0.2364208,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,3.78984375e-06
RECT_E03_A03,3,3,1;2,1;2,1;2;6;7,2,2,4,4160,260,4420,4,64,133120,33344,2275,0.000309458721128909,0.0668046319359813,0.000672188959628317,0.000364864445564857,D0280,V0270,H0041,4,2,4,0,0.2488005,0.2488005,FIM_SCENARIO_VALID,2,2,1184,2368,3.901171875e-06
RECT_E03_A04,3,4,1;2,3,11;12,2,1,2,4160,130,4290,2,32,66560,33312,2145,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2632524,0.2632524,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,3.78984375e-06
