scenario_id,data_split,center_az_deg,center_el_deg,direction_az_component,direction_el_component,separation_deg,target1_az_deg,target1_el_deg,target2_az_deg,target2_el_deg,source_profile_id,L,secondary_power_db,correlation_magnitude,correlation_phase_rad,noise_covariance_id,registered_domain_pass,holdout_seed,sampling_rule
D0078,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0079,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0080,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0081,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0082,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0083,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0084,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0085,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0086,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0087,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0088,DESIGN,8,10,0.707106781186547,0.707106781186547,0.2,7.92928932188135,9.92928932188135,8.07071067811865,10.0707106781187,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0089,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0090,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0091,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0092,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0093,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0094,DESIGN,8,10,0.707106781186547,0.707106781186547,0.4,7.85857864376269,9.85857864376269,8.14142135623731,10.1414213562373,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
