subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total
RECT_E11_A30,11,30,1;2;4,2;3;4;5,6;7;9;11;12;14;16;17;19;21;22;24,3,4,12,6240,780,7020
RECT_E11_A31,11,31,1;2;4,1;2;3;4;5,1;2;4;6;7;9;11;12;14;16;17;19;21;22;24,3,5,15,6240,975,7215
RECT_E12_A01,12,1,3;4,1,3;4,2,1,2,4160,130,4290
RECT_E12_A02,12,2,3;4,2,8;9,2,1,2,4160,130,4290
RECT_E12_A03,12,3,3;4,1;2,3;4;8;9,2,2,4,4160,260,4420
RECT_E12_A04,12,4,3;4,3,13;14,2,1,2,4160,130,4290
RECT_E12_A05,12,5,3;4,1;3,3;4;13;14,2,2,4,4160,260,4420
RECT_E12_A06,12,6,3;4,2;3,8;9;13;14,2,2,4,4160,260,4420
RECT_E12_A07,12,7,3;4,1;2;3,3;4;8;9;13;14,2,3,6,4160,390,4550
RECT_E12_A08,12,8,3;4,4,18;19,2,1,2,4160,130,4290
RECT_E12_A09,12,9,3;4,1;4,3;4;18;19,2,2,4,4160,260,4420
RECT_E12_A10,12,10,3;4,2;4,8;9;18;19,2,2,4,4160,260,4420
RECT_E12_A11,12,11,3;4,1;2;4,3;4;8;9;18;19,2,3,6,4160,390,4550
RECT_E12_A12,12,12,3;4,3;4,13;14;18;19,2,2,4,4160,260,4420
RECT_E12_A13,12,13,3;4,1;3;4,3;4;13;14;18;19,2,3,6,4160,390,4550
RECT_E12_A14,12,14,3;4,2;3;4,8;9;13;14;18;19,2,3,6,4160,390,4550
RECT_E12_A15,12,15,3;4,1;2;3;4,3;4;8;9;13;14;18;19,2,4,8,4160,520,4680
RECT_E12_A16,12,16,3;4,5,23;24,2,1,2,4160,130,4290
RECT_E12_A17,12,17,3;4,1;5,3;4;23;24,2,2,4,4160,260,4420
RECT_E12_A18,12,18,3;4,2;5,8;9;23;24,2,2,4,4160,260,4420
RECT_E12_A19,12,19,3;4,1;2;5,3;4;8;9;23;24,2,3,6,4160,390,4550
RECT_E12_A20,12,20,3;4,3;5,13;14;23;24,2,2,4,4160,260,4420
RECT_E12_A21,12,21,3;4,1;3;5,3;4;13;14;23;24,2,3,6,4160,390,4550
RECT_E12_A22,12,22,3;4,2;3;5,8;9;13;14;23;24,2,3,6,4160,390,4550
RECT_E12_A23,12,23,3;4,1;2;3;5,3;4;8;9;13;14;23;24,2,4,8,4160,520,4680
RECT_E12_A24,12,24,3;4,4;5,18;19;23;24,2,2,4,4160,260,4420
RECT_E12_A25,12,25,3;4,1;4;5,3;4;18;19;23;24,2,3,6,4160,390,4550
RECT_E12_A26,12,26,3;4,2;4;5,8;9;18;19;23;24,2,3,6,4160,390,4550
RECT_E12_A27,12,27,3;4,1;2;4;5,3;4;8;9;18;19;23;24,2,4,8,4160,520,4680
RECT_E12_A28,12,28,3;4,3;4;5,13;14;18;19;23;24,2,3,6,4160,390,4550
RECT_E12_A29,12,29,3;4,1;3;4;5,3;4;13;14;18;19;23;24,2,4,8,4160,520,4680
RECT_E12_A30,12,30,3;4,2;3;4;5,8;9;13;14;18;19;23;24,2,4,8,4160,520,4680
RECT_E12_A31,12,31,3;4,1;2;3;4;5,3;4;8;9;13;14;18;19;23;24,2,5,10,4160,650,4810
RECT_E13_A01,13,1,1;3;4,1,1;3;4,3,1,3,6240,195,6435
RECT_E13_A02,13,2,1;3;4,2,6;8;9,3,1,3,6240,195,6435
RECT_E13_A03,13,3,1;3;4,1;2,1;3;4;6;8;9,3,2,6,6240,390,6630
RECT_E13_A04,13,4,1;3;4,3,11;13;14,3,1,3,6240,195,6435
RECT_E13_A05,13,5,1;3;4,1;3,1;3;4;11;13;14,3,2,6,6240,390,6630
RECT_E13_A06,13,6,1;3;4,2;3,6;8;9;11;13;14,3,2,6,6240,390,6630
RECT_E13_A07,13,7,1;3;4,1;2;3,1;3;4;6;8;9;11;13;14,3,3,9,6240,585,6825
RECT_E13_A08,13,8,1;3;4,4,16;18;19,3,1,3,6240,195,6435
RECT_E13_A09,13,9,1;3;4,1;4,1;3;4;16;18;19,3,2,6,6240,390,6630
RECT_E13_A10,13,10,1;3;4,2;4,6;8;9;16;18;19,3,2,6,6240,390,6630
RECT_E13_A11,13,11,1;3;4,1;2;4,1;3;4;6;8;9;16;18;19,3,3,9,6240,585,6825
RECT_E13_A12,13,12,1;3;4,3;4,11;13;14;16;18;19,3,2,6,6240,390,6630
RECT_E13_A13,13,13,1;3;4,1;3;4,1;3;4;11;13;14;16;18;19,3,3,9,6240,585,6825
RECT_E13_A14,13,14,1;3;4,2;3;4,6;8;9;11;13;14;16;18;19,3,3,9,6240,585,6825
RECT_E13_A15,13,15,1;3;4,1;2;3;4,1;3;4;6;8;9;11;13;14;16;18;19,3,4,12,6240,780,7020
RECT_E13_A16,13,16,1;3;4,5,21;23;24,3,1,3,6240,195,6435
RECT_E13_A17,13,17,1;3;4,1;5,1;3;4;21;23;24,3,2,6,6240,390,6630
RECT_E13_A18,13,18,1;3;4,2;5,6;8;9;21;23;24,3,2,6,6240,390,6630
RECT_E13_A19,13,19,1;3;4,1;2;5,1;3;4;6;8;9;21;23;24,3,3,9,6240,585,6825
RECT_E13_A20,13,20,1;3;4,3;5,11;13;14;21;23;24,3,2,6,6240,390,6630
RECT_E13_A21,13,21,1;3;4,1;3;5,1;3;4;11;13;14;21;23;24,3,3,9,6240,585,6825
RECT_E13_A22,13,22,1;3;4,2;3;5,6;8;9;11;13;14;21;23;24,3,3,9,6240,585,6825
RECT_E13_A23,13,23,1;3;4,1;2;3;5,1;3;4;6;8;9;11;13;14;21;23;24,3,4,12,6240,780,7020
RECT_E13_A24,13,24,1;3;4,4;5,16;18;19;21;23;24,3,2,6,6240,390,6630
