global_trial_index,trial_id,K,mode,noise_profile_id,L,snr_db,profile_id,element_trial_hash,fit_valid,fit_status,selected_source,selected_start_id,angles_hat_deg,joint_rmse_deg,rss,loglik_concentrated,effective_rank,score_call_count,svd_call_count,runtime_sec,fixed_grid_angles_deg,fixed_grid_joint_rmse_deg,fixed_grid_rss,fixed_grid_loglik,fixed_grid_valid,fixed_grid_condition_number,continuous_rss,continuous_loglik,continuous_valid,continuous_upgrade_flag,fallback_flag,q,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,truth_used_in_fit_flag
93,V22_K2_N1_L4_SP6_P1,2,CORE_LITE,WHITE,4,6,P1,65162f53a9e0653baefcb2366304b9e88ab2bb1685f09ddb41d9c04ac99a88ee,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,70.7135477088232,-138.54135003872,2,151,347,0.1462511,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,70.7135477088232,-138.54135003872,1,106.050336607976,NaN,NaN,0,0,0,88.1505156159949,1,1,0,0,0,0
93,V22_K2_N1_L4_SP6_P1,2,CORE_PLUS,WHITE,4,6,P1,65162f53a9e0653baefcb2366304b9e88ab2bb1685f09ddb41d9c04ac99a88ee,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,70.7135477088232,-138.54135003872,2,3473,6991,2.8335361,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,70.7135477088232,-138.54135003872,1,106.050336607976,NaN,NaN,0,0,1,88.1505156159949,1,1,0,0,0,0
94,V22_K2_N1_L4_SP6_P2,2,CORE_LITE,WHITE,4,6,P2,1640041eee44e11c71537fa7cde2e04de36ba5d23be257ebdd3015a8ba7c95db,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[8.1999999999999993 10;8.4000000000000004 10],0.100000000000001,56.3153007095134,-124.881095573352,2,145,341,0.1469699,[8.1999999999999993 10;8.4000000000000004 10],0.100000000000001,56.3153007095134,-124.881095573352,1,160.15466699637,NaN,NaN,0,0,0,51.8069369025886,1,1,0,0,0,0
94,V22_K2_N1_L4_SP6_P2,2,CORE_PLUS,WHITE,4,6,P2,1640041eee44e11c71537fa7cde2e04de36ba5d23be257ebdd3015a8ba7c95db,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q1_KQ2,[8.1700826705830405 10.002960732923405;8.2168015809590695 10.011967266119139],0.0774129803223308,52.5207504442842,-120.6956197016,2,3165,6382,2.5606626,[8.1999999999999993 10;8.4000000000000004 10],0.100000000000001,56.3153007095134,-124.881095573352,1,160.15466699637,52.5207504442842,-120.6956197016,1,1,0,51.8069369025886,1,1,0,0,0,0
95,V22_K2_N1_L4_SP6_P3,2,CORE_LITE,WHITE,4,6,P3,4e27725af00f145f3fbd5ce6f0ec07970d3f93a2cdf03502bd5c81cfbf48cb58,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[8.1999999999999993 9.8000000000000007;8 10],0.301039864469806,50.3787588846026,-118.197297550019,2,150,346,0.1479708,[8.1999999999999993 9.8000000000000007;8 10],0.301039864469806,50.3787588846026,-118.197297550019,1,105.450880951862,NaN,NaN,0,0,0,15.0068023543143,1,1,0,0,0,0
95,V22_K2_N1_L4_SP6_P3,2,CORE_PLUS,WHITE,4,6,P3,4e27725af00f145f3fbd5ce6f0ec07970d3f93a2cdf03502bd5c81cfbf48cb58,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q1_KQ2,[8.1999999999999993 9.8000000000000007;8 10],0.301039864469806,50.3787588846026,-118.197297550019,2,3541,7128,2.9142131,[8.1999999999999993 9.8000000000000007;8 10],0.301039864469806,50.3787588846026,-118.197297550019,1,105.450880951862,NaN,NaN,0,0,1,15.0068023543143,1,1,0,0,0,0
96,V22_K2_N1_L4_SP6_P4,2,CORE_LITE,WHITE,4,6,P4,95cd3330220356276e4da3412d2051d8e32a787986a594a5db250504b4d74625,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,58.3101906900774,-126.969731948213,2,150,346,0.150248,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,58.3101906900774,-126.969731948213,1,52.1284110745457,NaN,NaN,0,0,0,9.83738744086221,1,1,0,0,0,0
96,V22_K2_N1_L4_SP6_P4,2,CORE_PLUS,WHITE,4,6,P4,95cd3330220356276e4da3412d2051d8e32a787986a594a5db250504b4d74625,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,58.3101906900774,-126.969731948213,2,3537,7120,2.9801438,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,58.3101906900774,-126.969731948213,1,52.1284110745457,NaN,NaN,0,0,1,9.83738744086221,1,1,0,0,0,0
97,V22_K2_N1_L8_SM6_P1,2,CORE_LITE,WHITE,8,-6,P1,9b9382d69dd8721203e4e1fe761ca72dc505afe2c9fe7839254fb891b00fada0,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,105.3672540843,-241.762805830887,2,150,346,0.1569897,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,105.3672540843,-241.762805830887,1,106.050336607976,NaN,NaN,0,0,0,88.1505156159949,1,1,0,0,0,0
97,V22_K2_N1_L8_SM6_P1,2,CORE_PLUS,WHITE,8,-6,P1,9b9382d69dd8721203e4e1fe761ca72dc505afe2c9fe7839254fb891b00fada0,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,105.3672540843,-241.762805830887,2,3475,6996,2.7862312,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,105.3672540843,-241.762805830887,1,106.050336607976,NaN,NaN,0,0,1,88.1505156159949,1,1,0,0,0,0
