domain,method_id,nominal_snr_db,profile_id,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,TANGENT_PROFILE_CORE,-6,P3,60,60,20,0,40,0.333333333333333,0.2,0,0.0773192629170186,0.162805387225921,0.192503173632647,0.384624526376506,42.9183266658482,83.2583939043556,0.148999999999998,0.255054589231506,5.2221662,0.0810236,0.1297853,8201,16462,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":40}"
BEAMSPACE,TANGENT_PROFILE_CORE,-6,P4,60,60,24,0,36,0.4,0.233333333333333,0,0.0938021373726221,0.181452087785019,0.233231990896626,0.397531432037677,53.2656327028433,82.9690613817149,0.0989999999999997,0.458812581125413,5.2562156,0.09215975,0.12466235,8783,17626,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":36}"
BEAMSPACE,TANGENT_PROFILE_CORE,0,P1,60,60,46,0,14,0.766666666666667,0.366666666666667,0,0.102678503823889,0.20623377445864,0.224596639882812,0.455102174385829,41.7314453570893,81.562311610377,0.298790468681503,0.299000000000001,6.465552,0.10704585,0.1543785,10327,20714,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":14}"
BEAMSPACE,TANGENT_PROFILE_CORE,0,P2,60,60,42,0,18,0.7,0.45,0,0.090977399049268,0.147747701152244,0.206189980088394,0.303916060215761,52.7429669986228,81.0543868319944,0.199,0.359416056595071,5.827685,0.10285155,0.1289056,10071,20202,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":18}"
BEAMSPACE,TANGENT_PROFILE_CORE,0,P3,60,60,34,0,26,0.566666666666667,0.45,0.0166666666666667,0.061207186391818,0.127364367328191,0.155333851710783,0.301461386604815,29.0339831417716,68.8155571775561,0.148999999999998,0.206139476388689,5.3612411,0.10205105,0.12704665,9490,19040,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":26}"
BEAMSPACE,TANGENT_PROFILE_CORE,0,P4,60,60,44,0,16,0.733333333333333,0.483333333333333,0,0.0715567826022682,0.164422958100075,0.165509823840022,0.349005715876779,40.0852710982298,81.9558227447361,0.099,0.54738424071598,5.9402771,0.1044172,0.13174655,10221,20502,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":16}"
BEAMSPACE,TANGENT_PROFILE_CORE,6,P1,60,60,53,0,7,0.883333333333333,0.633333333333333,0.0666666666666667,0.0787154994310104,0.121711700659703,0.17070026883041,0.251006213375763,20.7033844290685,61.5956379450316,0.298963744809894,0.299000000000001,5.7112555,0.09975575,0.10929455,10495,21050,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":7}"
BEAMSPACE,TANGENT_PROFILE_CORE,6,P2,60,60,55,0,5,0.916666666666667,0.616666666666667,0,0.0771338920288032,0.140079766324737,0.16967496104311,0.314823115651303,39.0158968028794,73.7740326647911,0.198999999999999,0.509429006825839,5.7782129,0.0991196,0.1097821,10464,20988,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":5}"
BEAMSPACE,TANGENT_PROFILE_CORE,6,P3,60,60,46,0,14,0.766666666666667,0.75,0.05,0.0438571106873836,0.0892011969419077,0.106940073682527,0.216339045059549,19.3432448745207,65.5828432491334,0.148999999999997,0.16498231912201,5.5475506,0.09845255,0.11606655,10103,20266,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":14}"
BEAMSPACE,TANGENT_PROFILE_CORE,6,P4,60,60,54,0,6,0.9,0.75,0,0.0487286196590278,0.130544851171146,0.11611256269498,0.311615875038733,36.7642082668769,78.9844531964808,0.099,0.536425961727763,5.7496344,0.0988921,0.1118269,10608,21276,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":6}"
