measurement_identity,case_type,case_id,angle1_az,angle1_el,angle2_az,angle2_el,key1,key2,exact_key_error_deg,legacy_vs_direct_G_rel_error,legacy_vs_direct_G_abs_error,direct_vs_dictionary_G_rel_error,direct_vs_dictionary_G_abs_error,singular_value_abs_error,sigma1_direct,sigma2_direct,sigma1_dictionary,sigma2_dictionary,rank_threshold_direct,rank_threshold_dictionary,rank_threshold_abs_difference,rank_direct,rank_dictionary,rank_match,first_column_rel_error,second_column_rel_error,continuous_numeric_pass,discrete_decision_pass,static_pass,failure_reason
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_18,7.4,9.8,8.4,10.2,OMEGA_01,OMEGA_18,0,0,0,3.67800389126968e-12,2.26258172327178e-10,2.1316282072803e-14,59.4005916563901,25.1310236299189,59.40059165639,25.131023629919,1.97843713599844e-13,1.97843713599844e-13,7.57306469012171e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_19,7.4,9.8,8.6,9.8,OMEGA_01,OMEGA_19,0,0,0,2.71970290670177e-12,1.54881366742542e-10,7.105427357601e-14,57.7520826527872,28.7175140064502,57.7520826527871,28.7175140064501,1.92353075643538e-13,1.92353075643538e-13,2.27191940703651e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_20,7.4,9.8,8.6,10,OMEGA_01,OMEGA_20,0,0,0,5.33153496008906e-11,3.4379334020024e-09,9.2370555648813e-14,57.6894047542327,28.8432298785153,57.6894047542326,28.8432298785153,1.92144316305207e-13,1.92144316305207e-13,3.02922587604869e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_21,7.4,9.8,8.6,10.2,OMEGA_01,OMEGA_21,0,0,0,1.41994259101658e-12,6.79402282392327e-11,3.19744231092045e-14,57.4888543539528,29.2409009605507,57.4888543539527,29.2409009605507,1.91476349289242e-13,1.91476349289241e-13,1.0097419586829e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_02,7.4,10,7.4,10,OMEGA_02,OMEGA_02,0,0,0,3.86743461300856e-11,1.75910877949761e-09,9.9475983006414e-14,64.4980619863886,5.76062581272713e-15,64.4980619863885,7.69378015102725e-15,2.14821700382968e-13,2.14821700382967e-13,3.28166136571941e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_03,7.4,10,7.4,10.2,OMEGA_02,OMEGA_03,0,0,0,2.79177956038128e-11,1.75910877949761e-09,1.64757096854373e-13,64.3947646981092,3.64878235404921,64.3947646981092,3.64878235404904,2.1447765129948e-13,2.1447765129948e-13,0,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_04,7.4,10,7.6,9.8,OMEGA_02,OMEGA_04,0,0,0,2.8112624523985e-11,1.75910877949761e-09,5.06261699229071e-14,64.1950450830299,6.24463693985241,64.1950450830299,6.24463693985246,2.13812451354089e-13,2.13812451354089e-13,1.51461293802434e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_05,7.4,10,7.6,10,OMEGA_02,OMEGA_05,0,0,0,5.2135411353351e-11,2.86221161671188e-09,8.34887714518118e-13,64.2976022786283,5.08117254703095,64.2976022786281,5.08117254703178,2.14154035433772e-13,2.14154035433772e-13,6.56332273143882e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_06,7.4,10,7.6,10.2,OMEGA_02,OMEGA_06,0,0,0,2.91970237469147e-11,1.75910877949761e-09,2.07833750209829e-13,64.1953959929043,6.24102878753943,64.1953959929042,6.24102878753963,2.13813620118756e-13,2.13813620118755e-13,1.76704842769507e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_07,7.4,10,7.8,9.8,OMEGA_02,OMEGA_07,0,0,0,2.74622679187195e-11,1.75910877949761e-09,2.06057393370429e-13,63.6005006849254,10.7226686272068,63.6005006849253,10.722668627207,2.11832220714277e-13,2.11832220714276e-13,2.27191940703651e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_08,7.4,10,7.8,10,OMEGA_02,OMEGA_08,0,0,0,3.68179682991976e-11,1.75910877949761e-09,5.47117906535277e-13,63.7007429595048,10.1101595256412,63.7007429595047,10.1101595256418,2.12166094558113e-13,2.12166094558113e-13,3.02922587604869e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_09,7.4,10,7.8,10.2,OMEGA_02,OMEGA_09,0,0,0,2.73818558340798e-11,1.75910877949761e-09,2.48689957516035e-13,63.6020205945306,10.713649661679,63.6020205945305,10.7136496616792,2.11837283030194e-13,2.11837283030194e-13,1.76704842769507e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_10,7.4,10,8,9.8,OMEGA_02,OMEGA_10,0,0,0,3.56797399669575e-11,1.75910877949761e-09,4.9737991503207e-14,62.6246165794892,15.432327403196,62.6246165794891,15.4323274031961,2.08581873704614e-13,2.08581873704613e-13,1.76704842769507e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_11,7.4,10,8,10,OMEGA_02,OMEGA_11,0,0,0,2.80757092867771e-11,1.75910877949761e-09,4.92050844513869e-13,62.7210781867331,15.0355030209751,62.7210781867328,15.0355030209755,2.08903155396677e-13,2.08903155396676e-13,8.58280664880461e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_12,7.4,10,8,10.2,OMEGA_02,OMEGA_12,0,0,0,2.9155805261092e-11,1.75910877949761e-09,8.5265128291212e-14,62.6281782446606,15.4178670066175,62.6281782446605,15.4178670066176,2.08593736432651e-13,2.08593736432651e-13,2.77679038637796e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_13,7.4,10,8.2,9.8,OMEGA_02,OMEGA_13,0,0,0,2.76601095420869e-11,1.75910877949761e-09,1.31450406115619e-13,61.2901489766203,20.0877312859717,61.2901489766203,20.0877312859718,2.0413720372965e-13,2.04137203729649e-13,2.52435489670724e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_14,7.4,10,8.2,10,OMEGA_02,OMEGA_14,0,0,0,2.81339627801034e-11,1.75910877949761e-09,2.45137243837235e-13,61.3813685237057,19.8072607240407,61.3813685237055,19.8072607240409,2.0444102585406e-13,2.04441025854059e-13,7.32062920045099e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_15,7.4,10,8.2,10.2,OMEGA_02,OMEGA_15,0,0,0,2.98380645130589e-11,1.75910877949761e-09,8.5265128291212e-14,61.2965371037584,20.0682299154774,61.2965371037583,20.0682299154775,2.04158480467148e-13,2.04158480467148e-13,2.77679038637796e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_16,7.4,10,8.4,9.8,OMEGA_02,OMEGA_16,0,0,0,2.83757457394326e-11,1.75910877949761e-09,1.56319401867222e-13,59.6291723837915,24.583756923816,59.6291723837915,24.5837569238161,1.98605040359484e-13,1.98605040359483e-13,2.77679038637796e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_17,7.4,10,8.4,10,OMEGA_02,OMEGA_17,0,0,0,3.99974723124997e-11,1.88211726640292e-09,9.2370555648813e-14,59.7136979935707,24.3777407727228,59.7136979935707,24.3777407727229,1.98886567193926e-13,1.98886567193925e-13,2.77679038637796e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_02_18,7.4,10,8.4,10.2,OMEGA_02,OMEGA_18,0,0,0,2.75807963441901e-11,1.75910877949761e-09,1.10134124042816e-13,59.6390506094853,24.5597831727696,59.6390506094852,24.5597831727697,1.98637941460307e-13,1.98637941460306e-13,3.02922587604869e-28,2,2,1,NaN,NaN,1,1,1,
