domain,method_id,profile_id,nominal_snr_db,L,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,10,8,20,20,20,0,0,1,12,4,4,0.6,0.2,0.0905168873978687,0.151965866255497,0.199473991012536,0.292083497931586,4.79409459457274,13.2489566504844,0.192347623233457,0.449000000000001,1.9111108,0.09674155,0.0987704,3614,7248,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,14,8,20,20,20,0,0,1,13,9,1,0.65,0.45,0.0734757236434178,0.119740433425587,0.150815513002522,0.236779357755536,3.34360586734695,7.21438656643772,0.146954353935782,0.448583605095161,1.8740546,0.0939252,0.1012496,3558,7136,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,18,8,20,20,20,0,0,1,16,11,0,0.8,0.55,0.0564868301759549,0.123635294143715,0.10986079846229,0.240410669203681,2.31767491112491,4.35679063779235,0.0986665252217794,0.270265588182887,1.8699954,0.09271575,0.09628845,3611,7242,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,22,8,20,20,20,0,0,1,15,13,1,0.75,0.65,0.0466456655004007,0.129847114484487,0.0951174749561066,0.250118233496868,1.35908531463923,2.84457039726413,0.0756481504765858,0.266448056985933,1.8561429,0.09326635,0.0967375,3602,7224,40,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,-6,8,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1565401,0.00218265,0.00863985,1220,0,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":20}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,0,8,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0401845,0.00196915,0.0022178,1220,0,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":20}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,6,8,20,20,8,0,12,0.4,8,1,0,0.4,0.05,0.0782181757084046,0.0870567276574282,0.160741787888493,0.216985262367527,0.951509414282874,2.74125423613809,0.218889329422726,0.43275919877137,14.6798607,0.00234885,1.9065836,34793,33573,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":12}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,10,8,20,20,13,0,7,0.65,13,3,0,0.65,0.15,0.0769838342481806,0.0894839204301279,0.161905374550249,0.20942093456451,0.723165140902124,1.70037309425594,0.276981534541305,0.418513315967081,26.0579055,1.67097,2.28470955,58323,57103,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":7}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,14,8,20,20,18,0,2,0.9,18,13,0,0.9,0.65,0.0490766351593903,0.0826926315874976,0.1134175288136,0.189611063738102,0.493232470190034,1.13424163617628,0.0648560212551438,0.375644685452856,33.2870124,1.63115465,2.51205765,77492,76272,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":2}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,18,8,20,20,20,0,0,1,20,20,0,1,1,0.025128956998894,0.0420869185491788,0.0553320538268666,0.08632459024754,0.531154287191497,1.50987895133389,0.0494553892718926,0.122084701347539,31.264629,1.55872165,1.62408885,79179,77959,20,"{""reason"":[],""count"":[]}"
