row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,NATURAL,L,8,TANGENT_PROFILE_SAFE,24,24,24,0.0746801769473451,0.116117506457648,0.0215204416726832,0.060004815887527,2.78923286572049,8.8487610664226,0.136556460717091,0.198999999999998,0.136561374556556,0.199004776450862,5.24831925,5.51338321,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,TANGENT_PROFILE_SAFE,36,36,36,0.0892057873025949,0.248283001234035,0.0364840902131837,0.124691126623461,7.78204118067954,26.3896469138162,0.148036711984312,0.315727766016838,0.149012040734084,0.326384630976008,4.9170042,5.18787135,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,TANGENT_PROFILE_SAFE,36,36,36,0.0743376681785613,0.233164188249709,0.0231746978414787,0.107034875738308,3.76774946111497,23.3001936786244,0.0993220696641379,0.285718391308708,0.103502281098994,0.333913351911271,5.05806555,5.50331435,,0,0,0,0
METHOD,NATURAL,PROFILE,P1,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,18,0.0963219531839051,0.24262597699359,0.0820815502780796,0.18580317403244,2.7210382403393,18.6147037888452,0.0686919119354281,0.234026261601831,0.0753119742426506,0.275368476624467,5.61024535,7.07739999,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,18,0.212496026857683,0.353427866917047,0.129310707865545,0.346557522279165,2.8683239194883,25.0155786382087,0.187688933201496,0.497847094358289,0.187752757728568,0.516083781030974,4.9117167,6.75104151,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,18,0.0908240013891682,0.264035842770366,0.0832351504520976,0.260116390384755,2.85285929200247,13.4474227392345,0.0770619675608209,0.25113164079959,0.07718104613076,0.251806620451925,5.42700395,6.33217073,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,18,0.175967401968642,0.346842817930008,0.122634491101729,0.246361890038019,11.2480802310319,38.1947140973608,0.208226994725113,0.42344034277396,0.2089130277172,0.438478666625755,5.4948767,7.74116899,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.179246042815111,0.383553088471441,0.122634491101729,0.310859035834443,7.13961976357717,37.6994481606057,0.132813669186141,0.582795394838008,0.144385901936291,0.596989991189303,5.35783725,7.39867371,,0,0,0,0
METHOD,NATURAL,SNR_DB,+0,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.151172138296852,0.337307978544986,0.0962588028482512,0.279740760548831,2.79505885036956,23.8039081425749,0.151678645305628,0.414534194858894,0.151714546243938,0.428637745472173,5.6305849,7.33004705,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.0965142869111817,0.191854254156345,0.0733290131941361,0.150322067170616,3.04946859016285,19.1990535358003,0.134026168696809,0.246045905206224,0.147068520215505,0.246633509266872,5.5070787,7.28043412,,0,0,0,0
