row_type,scope_type,scope_value,method_id,reference_method_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,resulting_element_snr_median_db,resulting_element_snr_min_db,resulting_element_snr_max_db,realized_white_snr_median_db,realized_white_snr_p90_db,comparison_id,paired_count,wins,ties,losses
METHOD,NOISE,STAGE5_TOEPLITZ_CORRELATED,CORE_LITE,,36,36,1,0.431888640368505,0.5917186347963,0.347982662085684,0.53851648071345,45,90,0.147213595499957,0.712310562561766,0.885618083164142,5.04138126514913,0.23123933623853,0.755310683105901,0,0,162.944444444444,373.944444444444,0.14895965,0.1813257,-22.664100918801,-29.0947966576344,-16.6469478423104,0.0407629610250471,6.29011247170932,,0,0,0,0
METHOD,NOISE,STAGE5_TOEPLITZ_CORRELATED,CORE_PLUS,,36,36,1,0.418517572916774,0.5917186347963,0.33376002473925,0.574510555408488,34.0818334451049,75.6084638457953,0.182842712474618,0.487551313476713,0.982502108338529,3.78351324865871,0.20701225948733,0.58444640974953,0.666666666666667,0.333333333333333,1567.38888888889,3184.44444444444,1.019352,1.9720439,-22.664100918801,-29.0947966576344,-16.6469478423104,0.0407629610250471,6.29011247170932,,0,0,0,0
METHOD,NOISE,STAGE5_TOEPLITZ_CORRELATED,TANGENT_PROFILE_SAFE,,36,36,1,0.360555127546399,0.565616350468402,0.300000000000001,0.50619786620766,29.341973161731,85.208596487631,0.147213595499957,0.535917360311744,0.96512947838971,4.2360679774998,0.199506239930094,0.61542191811691,0.305555555555556,0.694444444444444,400.25,874.555555555556,4.52613155,4.5809738,-22.664100918801,-29.0947966576344,-16.6469478423104,0.0407629610250471,6.29011247170932,,0,0,0,0
PAIRWISE,NOISE,STAGE5_TOEPLITZ_CORRELATED,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,36,8,25,3
PAIRWISE,NOISE,STAGE5_TOEPLITZ_CORRELATED,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,36,18,10,8
METHOD,L,1,CORE_LITE,,24,24,1,0.456353228030009,0.604575853016703,0.407711724988346,0.582397974754533,24.1832303317149,90,0.147213595499958,0.37,0.999999999999997,2.7,0.23123933623853,0.445212293620584,0,0,155.208333333333,358.708333333333,0.1415578,0.17039434,-22.0329332039119,-29.0947966576344,-15.4197200332903,0.192269361470241,6.35192644382393,,0,0,0,0
METHOD,L,1,CORE_PLUS,,24,24,1,0.449977891432343,0.635317932281492,0.413152472280546,0.62791229598377,29.4287337532665,76.7568930333769,0.167741861006608,0.298576354341749,0.982270759025785,1.93552491642367,0.226828325182152,0.409658239774657,0.75,0.25,1300.20833333333,2650.375,0.8000549,1.71446539,-22.0329332039119,-29.0947966576344,-15.4197200332903,0.192269361470241,6.35192644382393,,0,0,0,0
METHOD,L,1,TANGENT_PROFILE_SAFE,,24,24,1,0.456353228030009,0.604575853016703,0.386432845054082,0.582397974754533,26.1568726768299,87.8545163002739,0.150992672676982,0.37,0.99833333333333,2.7,0.23123933623853,0.445212293620584,0.25,0.75,384.625,843.541666666667,4.497934,4.5567947,-22.0329332039119,-29.0947966576344,-15.4197200332903,0.192269361470241,6.35192644382393,,0,0,0,0
PAIRWISE,L,1,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,24,6,18,0
PAIRWISE,L,1,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,24,11,5,8
