scenario,data_split,trial_id,method,score,rss,normalized_score_gap_to_local_full,success_flag,wrong_local_peak_flag,num_score_eval_total,statistical_calibration_status,domain_hash,phase_factor
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,LOCAL_FULL_DML_REFERENCE,19350.9807548719,18.5478606587494,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,CONVENTIONAL_DBF,19069.1282339996,300.400381531123,0.0145652835090238,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,5,MAIN_GROUPED_CONDITIONAL_JOINT,19350.9140934879,18.574956423312,3.84218508041747e-07,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,5,GROUPED_CONDITIONAL_ONLY,19306.460968809,63.028081102213,0.00229759392056276,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,5,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.9215284701,18.5675214410876,-1.31600201117943e-15,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,5,LOCAL_FULL_DML_REFERENCE,19350.9215284701,18.5675214411131,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,5,CONVENTIONAL_DBF,19068.7723179291,300.71673198212,0.0145806601574966,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,6,MAIN_GROUPED_CONDITIONAL_JOINT,19350.7119446847,18.5692106672795,1.12557075123619e-06,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,6,GROUPED_CONDITIONAL_ONLY,19306.2682746161,63.0128807357869,0.00229786897590643,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,6,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.7337253045,18.5474300473907,3.76004223791722e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
