scenario,data_split,trial_id,group_index,oracle_Kq,condition_source,eta_condition_deg,upstream_group_support_status,conditional_estimate_status,az_hat_deg,score,rss,rank_Gphi,group_noise_scale,group_recovery_relative_error,num_score_eval,num_svd,runtime_sec,fixed_measurement_hash,domain_hash,statistical_calibration_status,pass_flag,phase_factor
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,22,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19304.5545934585,1.38242684283614,2,0.0312500100165639,0.0946843507921945,21,42,0.0073968,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,23,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.9898649184,1.39101428710637,2,0.0312500100165639,0.0947011743572056,21,42,0.0067459,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,24,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.3900196687,1.38255770965043,2,0.0312500100165639,0.0947107109218261,21,42,0.0065032,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,25,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19304.9191955338,1.38276831328039,2,0.0312500100165639,0.0947205759966361,21,42,0.0059054,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,26,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.3480023322,1.3843346837748,2,0.0312500100165639,0.0947328693358141,21,42,0.0070622,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,27,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.1579165917,1.39371024895809,2,0.0312500100165639,0.094707579604787,21,42,0.0065177,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,28,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.0975434221,1.37639642660361,2,0.0312500100165639,0.0947152033273471,21,42,0.0070735,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,29,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19304.9035703975,1.39332385306989,2,0.0312500100165639,0.0946822990150379,21,42,0.0060677,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,30,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.6440472484,1.39056477625127,2,0.0312500100165639,0.0946890643655397,21,42,0.0058067,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,31,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19307.0026652182,1.28692011916792,2,0.03125,0.0947266012576651,21,42,0.0057397,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,32,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19304.2636536478,1.37609697782682,2,0.0312500100165639,0.0947086762228594,21,42,0.0088637,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,33,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.0252583357,1.30111745048998,2,0.03125,0.0947045380043502,21,42,0.0063141,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,34,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.7027156875,1.29645682309274,2,0.03125,0.0947203229243668,21,42,0.0051727,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,35,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.5994998747,1.38953132496317,2,0.0312500100165639,0.094691439440395,21,42,0.004819,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,36,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.2882186083,1.37973911394874,2,0.0312500100165639,0.0946931721980725,21,42,0.0051772,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,37,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.4659147938,1.39056864562372,2,0.0312500100165639,0.0947238735465294,21,42,0.006786,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,38,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.9617489872,1.37487801644966,2,0.0312500100165639,0.0947319982469804,21,42,0.0048819,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,39,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.3598056804,1.38929593703142,2,0.0312500100165639,0.0947616605434506,21,42,0.0048456,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,40,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.9275570833,1.30132506244991,2,0.03125,0.0947124353961468,21,42,0.0067466,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,41,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.9013544057,1.29929049295242,2,0.03125,0.0947549853718847,21,42,0.0049817,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
