az_center_grid,el_center_grid,score_grid,score_grid_norm,truth_center_az,truth_center_el,fixed_est_center_az,fixed_est_center_el,c05_est_center_az,c05_est_center_el
-0.646,10.291,111344.047868374,0.421031633038967,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.351,111825.617902006,0.423680210046366,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.411,111988.856856758,0.424578004576907,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.471,111837.756960265,0.423746973400292,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.531,111390.776552675,0.421288635157417,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.591,110678.596495852,0.417371730882035,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.651,109740.665658797,0.412213224587908,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.711,108621.277979484,0.406056727582826,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.771,107365.858157071,0.399152070224483,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.831,106017.926209769,0.391738607355464,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.891,104616.960606904,0.384033465787746,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.951,103197.164706435,0.376224759858065,0,10.31,0.02,10.36,-0.012,10.312
-0.646,11.011,101787.001169912,0.368469030766415,0,10.31,0.02,10.36,-0.012,10.312
-0.646,11.071,100409.296476598,0.360891821391119,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.511,88088.2026847392,0.293127294024257,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.571,91248.6011154106,0.31050910359111,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.631,94224.2394292949,0.326874754836159,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.691,97051.773825546,0.342425852426383,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.751,99760.5947871292,0.357324040467483,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.811,102369.932741438,0.371675083986929,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.871,104886.796166795,0.385517528768817,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.931,107304.830128283,0.398816423438828,0,10.31,0.02,10.36,-0.012,10.312
-0.606,9.991,109604.266369688,0.411463044975951,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.051,111753.173730512,0.423281775854995,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.111,113710.161323807,0.434044971198097,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.171,115428.508329551,0.443495672139393,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.231,116861.407680776,0.45137644546523,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.291,117967.687994157,0.457460853541165,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.351,118717.137091784,0.461582733038568,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.411,119094.511004474,0.463658243968522,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.471,119101.531595023,0.4636968563684,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.531,118756.605177188,0.461799802740225,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.591,118092.491532275,0.458147257923535,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.651,117152.549186276,0.45297768857322,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.711,115986.364732231,0.44656381496054,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.771,114645.525230496,0.439189359685318,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.831,113180.081727325,0.431129597455371,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.891,111635.981895786,0.422637234921729,0,10.31,0.02,10.36,-0.012,10.312
-0.606,10.951,110053.508857115,0.413933824384652,0,10.31,0.02,10.36,-0.012,10.312
-0.606,11.011,108466.598871069,0.40520601117304,0,10.31,0.02,10.36,-0.012,10.312
-0.606,11.071,106902.830280411,0.396605472840387,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.511,89603.1878660203,0.301459529498769,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.571,93257.3230970452,0.321556831820144,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.631,96735.9162284638,0.340688673800599,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.691,100073.006568876,0.359042267525206,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.751,103295.404422827,0.376765066430063,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.811,106419.356585374,0.393946425925238,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.871,109448.129189463,0.410604309347357,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.931,112370.636172636,0.426677744692193,0,10.31,0.02,10.36,-0.012,10.312
-0.566,9.991,115161.315604736,0.442026144431964,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.051,117781.481429464,0.456436739930623,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.111,120182.303477935,0.469640971158379,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.171,122309.366038204,0.4813395582734,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.231,124108.443301122,0.491234265876278,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.291,125531.787008751,0.499062484316737,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.351,126543.972125518,0.504629380178762,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.411,127126.312874139,0.507832183944678,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.471,127279.099731704,0.50867249320339,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.531,127021.364619421,0.50725498122233,0,10.31,0.02,10.36,-0.012,10.312
-0.566,10.591,126388.408555726,0.503773799338248,0,10.31,0.02,10.36,-0.012,10.312
