scenario_name,center_az,trial_id,repeat_id,direct_runtime_total_sec,cached_runtime_total_sec,runtime_reduction_ratio,direct_num_pairs,cached_num_pairs,same_estimate_flag,same_policy_flag,cache_miss_count
low_snr_hard,15,10,1,0.1291474,0.0508522,0.606246815654051,9729,9729,1,1,0
easy_noncoherent,0,1,2,0.1275732,0.0501747,0.606698742369087,9729,9729,1,1,0
easy_noncoherent,0,2,2,0.1091962,0.0413815,0.621035347383883,9729,9729,1,1,0
easy_noncoherent,0,3,2,0.1097233,0.045318,0.586979246887398,9729,9729,1,1,0
easy_noncoherent,0,4,2,0.1242394,0.0473717,0.618706304119305,9729,9729,1,1,0
easy_noncoherent,0,5,2,0.1760753,0.0814494,0.537417230014658,18612,18612,1,1,0
easy_noncoherent,0,6,2,0.1184589,0.0526736,0.555342823544706,9729,9729,1,1,0
easy_noncoherent,0,7,2,0.1196409,0.0436503,0.635155703442552,9729,9729,1,1,0
easy_noncoherent,0,8,2,0.1158663,0.0490479,0.576685369257498,9729,9729,1,1,0
easy_noncoherent,0,9,2,0.1322694,0.0497564,0.623825314093812,9729,9729,1,1,0
easy_noncoherent,0,10,2,0.1205313,0.0486618,0.596272503490795,9729,9729,1,1,0
strong_coherent,0,1,2,0.1318474,0.0548163,0.584244361284333,9729,9729,1,1,0
strong_coherent,0,2,2,0.1376939,0.0485405,0.647475305732498,9729,9729,1,1,0
strong_coherent,0,3,2,0.1295018,0.052375,0.595565467043701,9729,9729,1,1,0
strong_coherent,0,4,2,0.1153319,0.0387836,0.663721832381154,9729,9729,1,1,0
strong_coherent,0,5,2,0.1193832,0.0519676,0.564699220660863,9729,9729,1,1,0
strong_coherent,0,6,2,0.1184824,0.044833,0.621606247003774,9729,9729,1,1,0
strong_coherent,0,7,2,0.1192183,0.0463661,0.611082359000254,9729,9729,1,1,0
strong_coherent,0,8,2,0.1317439,0.0583026,0.557455032073591,9729,9729,1,1,0
strong_coherent,0,9,2,0.1221521,0.0526471,0.569003725682981,9729,9729,1,1,0
strong_coherent,0,10,2,0.1217243,0.0451203,0.629323807982465,9729,9729,1,1,0
hard_phase,0,1,2,0.1189566,0.0396637,0.66656999275366,9729,9729,1,1,0
hard_phase,0,2,2,0.1058978,0.0473721,0.552662094963257,9729,9729,1,1,0
hard_phase,0,3,2,0.1221618,0.0557245,0.543846767156345,9729,9729,1,1,0
hard_phase,0,4,2,0.124057,0.0543769,0.561678099583256,9729,9729,1,1,0
hard_phase,0,5,2,0.1446537,0.0541856,0.625411586430212,9729,9729,1,1,0
hard_phase,0,6,2,0.1298828,0.0493512,0.620032829597144,9729,9729,1,1,0
hard_phase,0,7,2,0.1219488,0.0538234,0.55863936340497,9729,9729,1,1,0
hard_phase,0,8,2,0.1416431,0.0565264,0.600923730135813,9729,9729,1,1,0
hard_phase,0,9,2,0.1287803,0.0436476,0.661069278453304,9729,9729,1,1,0
hard_phase,0,10,2,0.1164589,0.0519352,0.554046964207974,9729,9729,1,1,0
weak_secondary,0,1,2,0.1941879,0.1090244,0.438562340907956,23133,23133,1,1,0
weak_secondary,0,2,2,0.1199368,0.0490431,0.59109214186138,9729,9729,1,1,0
weak_secondary,0,3,2,0.1868727,0.0991495,0.469427583590326,23133,23133,1,1,0
weak_secondary,0,4,2,0.1324887,0.051397,0.612065028942091,9729,9729,1,1,0
weak_secondary,0,5,2,0.1930484,0.0998772,0.482631298679502,23133,23133,1,1,0
weak_secondary,0,6,2,0.144981,0.0592556,0.591287134176202,9729,9729,1,1,0
weak_secondary,0,7,2,0.2149511,0.1040046,0.516147626134502,23133,23133,1,1,0
weak_secondary,0,8,2,0.1172766,0.0431347,0.632196874738865,9729,9729,1,1,0
weak_secondary,0,9,2,0.1796326,0.1119841,0.376593669523238,23133,23133,1,1,0
weak_secondary,0,10,2,0.1183964,0.0482923,0.592113442638459,9729,9729,1,1,0
low_snr_hard,0,1,2,0.1864637,0.0983172,0.47272739948848,23133,23133,1,1,0
low_snr_hard,0,2,2,0.1227642,0.0560692,0.543277274645214,9729,9729,1,1,0
low_snr_hard,0,3,2,0.210173,0.0957971,0.544198826680877,23133,23133,1,1,0
low_snr_hard,0,4,2,0.1364421,0.0542328,0.60252150912365,9729,9729,1,1,0
low_snr_hard,0,5,2,0.2276769,0.1040095,0.543170607119124,23133,23133,1,1,0
low_snr_hard,0,6,2,0.1112415,0.0447976,0.597294175285303,9729,9729,1,1,0
low_snr_hard,0,7,2,0.1967215,0.09821,0.500766311765618,23133,23133,1,1,0
low_snr_hard,0,8,2,0.1138802,0.0584762,0.486511263591037,9729,9729,1,1,0
low_snr_hard,0,9,2,0.2974602,0.1068216,0.640887755740096,23133,23133,1,1,0
low_snr_hard,0,10,2,0.1389849,0.0502756,0.638265739659488,9729,9729,1,1,0
easy_noncoherent,8,1,2,0.1391335,0.0807748,0.419443915376239,9729,9729,1,1,0
easy_noncoherent,8,2,2,0.1826712,0.0693998,0.620083516175511,9729,9729,1,1,0
easy_noncoherent,8,3,2,0.1508744,0.0615773,0.591863828455987,9729,9729,1,1,0
easy_noncoherent,8,4,2,0.1287938,0.0549216,0.573569535179488,9729,9729,1,1,0
easy_noncoherent,8,5,2,0.1596149,0.0878249,0.449770040265664,9729,9729,1,1,0
easy_noncoherent,8,6,2,0.1583408,0.0670455,0.576574704687611,9729,9729,1,1,0
easy_noncoherent,8,7,2,0.112085,0.0402101,0.641253512958915,9729,9729,1,1,0
easy_noncoherent,8,8,2,0.1108891,0.0463413,0.582093280583935,9729,9729,1,1,0
easy_noncoherent,8,9,2,0.1777188,0.0901843,0.492544964291904,18612,18612,1,1,0
easy_noncoherent,8,10,2,0.1463774,0.0604183,0.587242976033185,9729,9729,1,1,0
strong_coherent,8,1,2,0.1350479,0.0539629,0.600416592927398,9729,9729,1,1,0
strong_coherent,8,2,2,0.1229755,0.0449248,0.63468495757285,9729,9729,1,1,0
strong_coherent,8,3,2,0.1144478,0.0402928,0.647937312905971,9729,9729,1,1,0
strong_coherent,8,4,2,0.1096551,0.051314,0.532041829335799,9729,9729,1,1,0
strong_coherent,8,5,2,0.1287297,0.0557167,0.567180689460163,9729,9729,1,1,0
strong_coherent,8,6,2,0.1235458,0.0510104,0.587113442949902,9729,9729,1,1,0
strong_coherent,8,7,2,0.113725,0.0410877,0.638710046163992,9729,9729,1,1,0
strong_coherent,8,8,2,0.1073413,0.0428267,0.601023091764307,9729,9729,1,1,0
strong_coherent,8,9,2,0.1059549,0.04051,0.617667517028472,9729,9729,1,1,0
strong_coherent,8,10,2,0.1087214,0.0574187,0.471873062708905,9729,9729,1,1,0
hard_phase,8,1,2,0.1292746,0.0497112,0.61546042300653,9729,9729,1,1,0
hard_phase,8,2,2,0.1171159,0.048338,0.587263556869733,9729,9729,1,1,0
hard_phase,8,3,2,0.1210539,0.0460053,0.619960199547474,9729,9729,1,1,0
hard_phase,8,4,2,0.1207569,0.0462543,0.616963502706678,9729,9729,1,1,0
hard_phase,8,5,2,0.1290011,0.0491702,0.618838909125581,9729,9729,1,1,0
hard_phase,8,6,2,0.1177855,0.0433976,0.631553968867136,9729,9729,1,1,0
hard_phase,8,7,2,0.1213275,0.0554316,0.543124188662917,9729,9729,1,1,0
hard_phase,8,8,2,0.1251446,0.049712,0.602763523156413,9729,9729,1,1,0
hard_phase,8,9,2,0.1311232,0.0475037,0.637717047784069,9729,9729,1,1,0
hard_phase,8,10,2,0.1181767,0.0547977,0.536307072375519,9729,9729,1,1,0
weak_secondary,8,1,2,0.2460458,0.1071804,0.564388418741551,23133,23133,1,1,0
weak_secondary,8,2,2,0.1332697,0.0473017,0.645067858635534,9729,9729,1,1,0
weak_secondary,8,3,2,0.1939823,0.1049689,0.458873825086103,23133,23133,1,1,0
